id,Predicted Likes
243,"normal: (3, 26]"
244,"low: (0, 3]"
245,"low: (0, 3]"
246,"normal: (3, 26]"
247,"low: (0, 3]"
248,"low: (0, 3]"
249,"low: (0, 3]"
250,"high: (26, 233]"
251,"low: (0, 3]"
252,"low: (0, 3]"
253,"normal: (3, 26]"
254,"low: (0, 3]"
255,"low: (0, 3]"
256,"low: (0, 3]"
257,"low: (0, 3]"
258,"low: (0, 3]"
259,"normal: (3, 26]"
260,"low: (0, 3]"
261,"low: (0, 3]"
262,"low: (0, 3]"
263,"low: (0, 3]"
264,"normal: (3, 26]"
265,"low: (0, 3]"
266,"low: (0, 3]"
267,"low: (0, 3]"
268,"normal: (3, 26]"
269,"low: (0, 3]"
270,"low: (0, 3]"
271,"low: (0, 3]"
272,"low: (0, 3]"
273,"low: (0, 3]"
274,"low: (0, 3]"
275,"high: (26, 233]"
276,"low: (0, 3]"
277,"low: (0, 3]"
278,"low: (0, 3]"
279,"low: (0, 3]"
280,"low: (0, 3]"
281,"low: (0, 3]"
282,"low: (0, 3]"
283,"low: (0, 3]"
284,"low: (0, 3]"
285,"low: (0, 3]"
286,"low: (0, 3]"
287,"low: (0, 3]"
288,"normal: (3, 26]"
289,"low: (0, 3]"
290,"low: (0, 3]"
291,"low: (0, 3]"
292,"low: (0, 3]"
293,"normal: (3, 26]"
294,"low: (0, 3]"
295,"low: (0, 3]"
296,"low: (0, 3]"
297,"low: (0, 3]"
298,"low: (0, 3]"
299,"low: (0, 3]"
300,"low: (0, 3]"
301,"low: (0, 3]"
302,"low: (0, 3]"
303,"low: (0, 3]"
304,"low: (0, 3]"
305,"low: (0, 3]"
306,"low: (0, 3]"
307,"low: (0, 3]"
308,"low: (0, 3]"
309,"low: (0, 3]"
310,"low: (0, 3]"
311,"low: (0, 3]"
312,"low: (0, 3]"
313,"low: (0, 3]"
314,"low: (0, 3]"
315,"low: (0, 3]"
316,"low: (0, 3]"
317,"low: (0, 3]"
318,"low: (0, 3]"
319,"low: (0, 3]"
320,"low: (0, 3]"
321,"normal: (3, 26]"
322,"low: (0, 3]"
323,"low: (0, 3]"
324,"high: (26, 233]"
325,"low: (0, 3]"
326,"low: (0, 3]"
327,"low: (0, 3]"
328,"high: (26, 233]"
329,"low: (0, 3]"
330,"low: (0, 3]"
331,"low: (0, 3]"
332,"low: (0, 3]"
333,"normal: (3, 26]"
334,"low: (0, 3]"
335,"low: (0, 3]"
336,"low: (0, 3]"
337,"low: (0, 3]"
338,"low: (0, 3]"
339,"low: (0, 3]"
340,"low: (0, 3]"
341,"low: (0, 3]"
342,"normal: (3, 26]"
343,"low: (0, 3]"
344,"normal: (3, 26]"
345,"low: (0, 3]"
346,"low: (0, 3]"
347,"low: (0, 3]"
348,"low: (0, 3]"
349,"normal: (3, 26]"
350,"low: (0, 3]"
351,"low: (0, 3]"
352,"low: (0, 3]"
353,"low: (0, 3]"
354,"normal: (3, 26]"
355,"low: (0, 3]"
356,"low: (0, 3]"
357,"low: (0, 3]"
358,"low: (0, 3]"
359,"low: (0, 3]"
360,"low: (0, 3]"
361,"normal: (3, 26]"
362,"low: (0, 3]"
363,"low: (0, 3]"
364,"low: (0, 3]"
365,"low: (0, 3]"
366,"low: (0, 3]"
367,"low: (0, 3]"
368,"low: (0, 3]"
369,"normal: (3, 26]"
370,"normal: (3, 26]"
371,"low: (0, 3]"
372,"high: (26, 233]"
373,"low: (0, 3]"
374,"low: (0, 3]"
375,"low: (0, 3]"
376,"low: (0, 3]"
377,"low: (0, 3]"
378,"low: (0, 3]"
379,"normal: (3, 26]"
380,"low: (0, 3]"
381,"low: (0, 3]"
382,"low: (0, 3]"
383,"low: (0, 3]"
384,"low: (0, 3]"
385,"low: (0, 3]"
386,"normal: (3, 26]"
387,"high: (26, 233]"
388,"normal: (3, 26]"
389,"low: (0, 3]"
390,"low: (0, 3]"
391,"low: (0, 3]"
392,"low: (0, 3]"
393,"low: (0, 3]"
394,"low: (0, 3]"
395,"low: (0, 3]"
396,"low: (0, 3]"
397,"low: (0, 3]"
398,"low: (0, 3]"
399,"low: (0, 3]"
400,"low: (0, 3]"
401,"low: (0, 3]"
402,"low: (0, 3]"
403,"low: (0, 3]"
404,"low: (0, 3]"
405,"low: (0, 3]"
406,"low: (0, 3]"
407,"low: (0, 3]"
408,"low: (0, 3]"
409,"low: (0, 3]"
410,"low: (0, 3]"
411,"low: (0, 3]"
412,"low: (0, 3]"
413,"low: (0, 3]"
414,"low: (0, 3]"
415,"low: (0, 3]"
416,"low: (0, 3]"
417,"low: (0, 3]"
418,"low: (0, 3]"
419,"low: (0, 3]"
420,"low: (0, 3]"
421,"normal: (3, 26]"
422,"low: (0, 3]"
423,"low: (0, 3]"
424,"low: (0, 3]"
425,"normal: (3, 26]"
426,"low: (0, 3]"
427,"low: (0, 3]"
428,"low: (0, 3]"
429,"low: (0, 3]"
430,"low: (0, 3]"
431,"low: (0, 3]"
432,"normal: (3, 26]"
433,"low: (0, 3]"
434,"low: (0, 3]"
435,"high: (26, 233]"
436,"low: (0, 3]"
437,"low: (0, 3]"
438,"low: (0, 3]"
439,"low: (0, 3]"
440,"normal: (3, 26]"
441,"low: (0, 3]"
442,"low: (0, 3]"
443,"low: (0, 3]"
444,"low: (0, 3]"
445,"low: (0, 3]"
446,"normal: (3, 26]"
447,"low: (0, 3]"
448,"low: (0, 3]"
449,"normal: (3, 26]"
450,"normal: (3, 26]"
451,"low: (0, 3]"
452,"low: (0, 3]"
453,"low: (0, 3]"
454,"low: (0, 3]"
455,"low: (0, 3]"
456,"low: (0, 3]"
457,"low: (0, 3]"
458,"low: (0, 3]"
459,"low: (0, 3]"
460,"low: (0, 3]"
461,"low: (0, 3]"
462,"famous: (233, 4997]"
463,"low: (0, 3]"
464,"normal: (3, 26]"
465,"low: (0, 3]"
466,"low: (0, 3]"
467,"low: (0, 3]"
468,"low: (0, 3]"
469,"low: (0, 3]"
470,"normal: (3, 26]"
471,"low: (0, 3]"
472,"low: (0, 3]"
473,"low: (0, 3]"
474,"low: (0, 3]"
475,"normal: (3, 26]"
476,"low: (0, 3]"
477,"low: (0, 3]"
478,"normal: (3, 26]"
479,"low: (0, 3]"
480,"low: (0, 3]"
481,"high: (26, 233]"
482,"low: (0, 3]"
483,"low: (0, 3]"
484,"low: (0, 3]"
485,"low: (0, 3]"
486,"low: (0, 3]"
487,"low: (0, 3]"
488,"low: (0, 3]"
489,"low: (0, 3]"
490,"high: (26, 233]"
491,"low: (0, 3]"
492,"low: (0, 3]"
493,"low: (0, 3]"
494,"low: (0, 3]"
495,"low: (0, 3]"
496,"low: (0, 3]"
497,"low: (0, 3]"
498,"low: (0, 3]"
499,"low: (0, 3]"
500,"low: (0, 3]"
501,"low: (0, 3]"
502,"low: (0, 3]"
503,"low: (0, 3]"
504,"low: (0, 3]"
505,"normal: (3, 26]"
506,"low: (0, 3]"
507,"low: (0, 3]"
508,"low: (0, 3]"
509,"low: (0, 3]"
510,"normal: (3, 26]"
511,"low: (0, 3]"
512,"low: (0, 3]"
513,"low: (0, 3]"
514,"normal: (3, 26]"
515,"normal: (3, 26]"
516,"low: (0, 3]"
517,"low: (0, 3]"
518,"low: (0, 3]"
519,"low: (0, 3]"
520,"low: (0, 3]"
521,"low: (0, 3]"
522,"low: (0, 3]"
523,"low: (0, 3]"
524,"low: (0, 3]"
525,"low: (0, 3]"
526,"low: (0, 3]"
527,"low: (0, 3]"
528,"famous: (233, 4997]"
529,"low: (0, 3]"
530,"high: (26, 233]"
531,"low: (0, 3]"
532,"low: (0, 3]"
533,"low: (0, 3]"
534,"low: (0, 3]"
535,"high: (26, 233]"
536,"low: (0, 3]"
537,"low: (0, 3]"
538,"low: (0, 3]"
539,"low: (0, 3]"
540,"low: (0, 3]"
541,"normal: (3, 26]"
542,"low: (0, 3]"
543,"low: (0, 3]"
544,"low: (0, 3]"
545,"high: (26, 233]"
546,"normal: (3, 26]"
547,"low: (0, 3]"
548,"low: (0, 3]"
549,"low: (0, 3]"
550,"low: (0, 3]"
551,"normal: (3, 26]"
552,"low: (0, 3]"
553,"low: (0, 3]"
554,"normal: (3, 26]"
555,"low: (0, 3]"
556,"low: (0, 3]"
557,"low: (0, 3]"
558,"low: (0, 3]"
559,"low: (0, 3]"
560,"famous: (233, 4997]"
561,"normal: (3, 26]"
562,"low: (0, 3]"
563,"low: (0, 3]"
564,"low: (0, 3]"
565,"low: (0, 3]"
566,"low: (0, 3]"
567,"low: (0, 3]"
568,"low: (0, 3]"
569,"low: (0, 3]"
570,"low: (0, 3]"
571,"low: (0, 3]"
572,"low: (0, 3]"
573,"low: (0, 3]"
574,"low: (0, 3]"
575,"low: (0, 3]"
576,"low: (0, 3]"
577,"low: (0, 3]"
578,"low: (0, 3]"
579,"low: (0, 3]"
580,"low: (0, 3]"
581,"low: (0, 3]"
582,"low: (0, 3]"
583,"normal: (3, 26]"
584,"low: (0, 3]"
585,"low: (0, 3]"
586,"normal: (3, 26]"
587,"low: (0, 3]"
588,"low: (0, 3]"
589,"low: (0, 3]"
590,"low: (0, 3]"
591,"low: (0, 3]"
592,"low: (0, 3]"
593,"low: (0, 3]"
594,"low: (0, 3]"
595,"low: (0, 3]"
596,"low: (0, 3]"
597,"low: (0, 3]"
598,"low: (0, 3]"
599,"high: (26, 233]"
600,"low: (0, 3]"
601,"low: (0, 3]"
602,"low: (0, 3]"
603,"low: (0, 3]"
604,"low: (0, 3]"
605,"low: (0, 3]"
606,"low: (0, 3]"
607,"low: (0, 3]"
608,"low: (0, 3]"
609,"low: (0, 3]"
610,"low: (0, 3]"
611,"low: (0, 3]"
612,"normal: (3, 26]"
613,"low: (0, 3]"
614,"low: (0, 3]"
615,"low: (0, 3]"
616,"low: (0, 3]"
617,"low: (0, 3]"
618,"low: (0, 3]"
619,"low: (0, 3]"
620,"low: (0, 3]"
621,"low: (0, 3]"
622,"low: (0, 3]"
623,"low: (0, 3]"
624,"low: (0, 3]"
625,"low: (0, 3]"
626,"low: (0, 3]"
627,"normal: (3, 26]"
628,"low: (0, 3]"
629,"low: (0, 3]"
630,"low: (0, 3]"
631,"low: (0, 3]"
632,"low: (0, 3]"
633,"low: (0, 3]"
634,"low: (0, 3]"
635,"low: (0, 3]"
636,"low: (0, 3]"
637,"low: (0, 3]"
638,"low: (0, 3]"
639,"low: (0, 3]"
640,"low: (0, 3]"
641,"low: (0, 3]"
642,"low: (0, 3]"
643,"low: (0, 3]"
644,"low: (0, 3]"
645,"low: (0, 3]"
646,"low: (0, 3]"
647,"low: (0, 3]"
648,"normal: (3, 26]"
649,"low: (0, 3]"
650,"low: (0, 3]"
651,"high: (26, 233]"
652,"low: (0, 3]"
653,"low: (0, 3]"
654,"low: (0, 3]"
655,"normal: (3, 26]"
656,"low: (0, 3]"
657,"low: (0, 3]"
658,"low: (0, 3]"
659,"low: (0, 3]"
660,"low: (0, 3]"
661,"low: (0, 3]"
662,"low: (0, 3]"
663,"low: (0, 3]"
