bigram,freq
"('travel', 'ends')",13
"('window', 'seat')",13
"('battle', 'window')",13
"('home', 'twitterworld')",13
"('amp', 'preference')",13
"('preference', 'today')",13
"('step', 'inoto')",13
"('life', 'quaranotine')",13
"('inoto', 'mumbai')",13
"('everyone', 'drop')",13
"('twitterworld', 'battle')",13
"('seat', 'anlyin')",13
"('infamous', 'traffic')",13
"('new', 'week')",13
"('traffic', 'jams')",13
"('happy', 'step')",13
"('happy', 'week')",13
"('stir', 'crazy')",12
"('atleast', 'destinations')",12
"('hours', 'day')",12
"('spending', 'hours')",12
"('next', 'level')",12
"('amp', 'secure')",12
"('day', 'brother')",12
"('preference', 'favorite')",12
"('poinots', 'guy')",12
"('full', 'poinots')",12
"('creative', 'lockdown')",12
"('tengok', 'preference')",12
"('challenge', 'select')",12
"('living', 'room')",12
"('fresh', 'prince')",12
"('day', 'rises')",12
"('preference', 'huff')",12
"('secure', 'gate')",12
"('select', 'atleast')",12
"('brother', 'hi')",12
"('wall', 'amp')",12
"('high', 'wall')",12
"('retweet', 'jam')",12
"('amigos', 'sunday')",12
"('idiots', 'walkies')",12
"('sunday', 'surprise')",12
"('home', 'home')",12
"('live', 'feed')",12
"('good', 'night')",12
"('stay', 'sane')",12
"('preference', 'time')",12
"('day', 'day')",12
"('hey', 'amigos')",12
"('fab', 'challenge')",12
"('last', 'week')",12
"('preference', 'anyone')",12
"('preference', 'bittersweet')",12
"('scene', 'tr')",12
"('little', 'bit')",12
"('bihday', 'pay')",12
"('likely', 'multiple')",12
"('face', 'yeah')",11
"('dm', 'call')",11
"('unparallel', 'tomorrow')",11
"('dream', 'latin')",11
"('social', 'commenotary')",11
"('feed', 'source')",11
"('cruel', 'amp')",11
"('source', 'scott')",11
"('way', 'excitemenot')",11
"('ohio', 'residenots')",11
"('shoemaker', 'facebook')",11
"('lockdown', 'state')",11
"('state', 'capitol')",11
"('pm', 'anytime')",11
"('please', 'tag')",11
"('darr', 'hai')",11
"('ka', 'darr')",11
"('latin', 'buddy')",11
"('hai', 'think')",11
"('preference', 'wanot')",11
"(' th', 'anniversary')",11
"('scott', 'shoemaker')",11
"('stage', 'ka')",11
"('lockdown', 'extend')",11
"('live', 'today')",11
"('backyard', 'please')",11
"('self', 'quaranotine')",11
"('round', 'house')",11
"('preference', 'sis')",11
"('opposition', 'leaders')",11
"('agar', 'lockdown')",11
"('new', 'album')",11
"('onale', 'data')",11
"('quaranotine', 'edition')",11
"('week', 'wife')",11
"('star', 'wars')",11
"('lot', 'money')",11
"('quaranotine', 'amp')",11
"('meeting', 'face')",11
"('baby', 'showers')",11
"('quaranotine', 'click')",11
"('cinco', 'mayo')",11
"('cut', 'hair')",11
"('showers', 'birds')",11
"('arrest', 'opposition')",11
"('inotraceable', 'arrest')",11
"('wife', 'staed')",11
"('retweet', 'onale')",11
"('pa', 'kitchen')",11
"('classes', 'peeps')",11
"('jam', 'afrobeats')",11
"('understand', 'lol')",11
"('cycling', 'classes')",11
"('indoor', 'cycling')",11
"('bring', 'indoor')",11
"('meet', 'bedroom')",11
"('preference', 'people')",11
"(' rd', 'stage')",11
"('video', 'preference')",11
"('house', 'preference')",11
"('daddy', 'spotify')",11
"('single', 'daddy')",11
"('preference', 'rare')",11
"('toh', ' rd')",11
"('hua', 'toh')",11
"('closed', 'girls')",11
"('extend', 'nahi')",11
"('peeps', 'zoo')",11
"('middle', 'east')",10
"('spending', 'time')",10
"('chicken', 'biryani')",10
"('acs', 'area')",10
"('home', 'office')",10
"('awesome', 'job')",10
"('preference', 'think')",10
"('link', 'sta')",10
"('job', 'girls')",10
"('wanot', 'lot')",10
"('egungun', 'careful')",10
"('monoths', 'inoto')",10
"('watch', 'love')",10
"('number', 'acs')",10
"('video', 'friends')",10
"('preference', 'needs')",10
"('quarenotine', 'bihday')",10
"('east', 'number')",10
"('watch', 'video')",10
"('new', 'song')",10
"('earphones', 'destroy')",10
"('vote', 'dream')",10
"(' k', 'followers')",10
"('good', 'day')",10
"('much', 'area')",10
"('destroy', 'harder')",10
"('amp', 'vote')",10
"('harder', 'pul')",10
"('inoto', 'way')",10
"('hi', 'wanot')",10
"('amp', 'chill')",10
"('grocery', 'shopping')",10
"('sta', 'week')",10
"('question', 'grocery')",10
"('patienots', 'preference')",10
"('bagga', 'agar')",10
"('ask', 'question')",10
"('huff', 'let')",10
"('stressful', 'times')",10
"('things', 'quaranotine')",10
"('think', 'people')",10
"('day', 'preference')",10
"('help', 'others')",10
"('lucky', 'winner')",10
"('everyone', 'stay')",10
"('indian', 'muslim')",10
"('best', 'cm')",10
"('safe', 'stay')",10
"('flouting', 'rules')",10
"('fun', 'quaranotine')",10
"('law', 'enforcemenot')",10
"('anyone', 'places')",10
"('alan', 'lockdown')",10
"('cunot', 'facetime')",10
"('enotitled', 'species')",10
"('tag', 'friends')",10
"('btt', 'token')",9
"('paper', 'towels')",9
"('share', 'btt')",9
"('days', 'share')",9
"('lockdown', 'preference')",9
"('vs', 'remind')",9
"('remind', 'everyone')",9
"('hard', 'days')",9
"('much', 'time')",9
"('day', 'today')",9
"('funke', 'akindele')",9
"('due', 'coronavirus')",9
"('many', 'things')",9
"('quaranotine', 'chill')",9
"('times', 'crisis')",9
"('quaranotine', 'stay')",9
"('cakin', 'facetime')",9
"('yall', 'cakin')",9
"('greatest', 'accomplishmenot')",9
"('coronavirus', 'covid')",9
"('quaranotine', 'workouts')",9
"('youtube', 'preference')",9
"('hey', 'guys')",9
"('days', 'preference')",9
"('nigerian', 'law')",9
"('enforcemenot', 'ok')",9
"(' th', 'bihday')",9
"('blog', 'post')",9
"('new', 'blog')",9
"('tv', 'shows')",9
"('world', 'safe')",9
"('global', 'pandemic')",9
"('freedom', 'family')",9
"('type', 'iir')",9
"('latest', 'episode')",9
"('preference', 'meet')",9
"('felt', 'cute')",9
"('full', 'episode')",9
"('soda', 'quarenotine')",9
"('tune', 'inoto')",9
"('animate', 'cover')",9
"('home', 'please')",9
"('anxiety', 'attacks')",9
"('choose', 'lucky')",9
"('jaggi', 'vasudev')",9
"('vasudev', 'isha')",9
"('place', 'orders')",9
"('isha', 'yoga')",9
"('yoga', 'foundation')",9
"('rite', 'answer')",9
"('preference', 'hey')",9
"('poor', 'humans')",9
"('notmal', 'food')",9
"('answer', 'choose')",9
"('ship', 'help')",9
"('pass', 'time')",9
"('long', 'time')",9
"('pre', 'order')",9
"('tik', 'tok')",9
"('day', 'time')",9
"('time', 'hands')",9
"('theindian', 'foreigners')",9
"('face', 'mask')",9
"('giveaway', 'time')",9
"('wake', 'mood')",9
"('mood', 'watch')",9
"('hand', 'sanitizer')",9
"('lot', 'people')",9
"('weeks', 'inoto')",9
"('perfect', 'time')",9
"('cashapp', 'apple')",9
"('humans', 'daria')",9
"('apple', 'pay')",9
"('spend', 'break')",8
"('kind', 'workstation')",8
"('today', 'preference')",8
"('people', 'world')",8
"('delivery', 'idk')",8
"('preference', 'house')",8
"('panic', 'attacks')",8
"('lockdown', 'rules')",8
"('attacks', 'anxiety')",8
"('live', 'youtube')",8
"('kyle', 'walker')",8
"('hu', 'please')",8
"('right', 'preference')",8
"('scary', 'panic')",8
"('sure', 'check')",8
"('clothes', 'trend')",8
"('quaranotine', 'series')",8
"('kuwait', 'dollars')",8
"('naira', 'retweet')",8
"('preference', 'midst')",8
"('workstation', 'commenot')",8
"('quaranotine', 'quaranotine')",8
"('new', 'things')",8
"('money', 'prefer')",8
"('right', 'thing')",8
"('top', 'lockdown')",8
"('commenot', 'top')",8
"('surprise', 'goodi')",8
"('member', 'wanot')",8
"('friendly', 'reminder')",8
"('voted', 'member')",8
"('isolation', 'https')",8
"('time', 'self')",8
"('prefer', 'kd')",8
"('trend', 'quaanotine')",8
"('lockdown', 'work')",8
"('preference', 'amp')",8
"('big', 'loves')",8
"('house', 'choose')",8
"('apple', 'podcasts')",8
"('screenshot', 'land')",8
"('game', 'senators')",8
"('grocery', 'delivery')",8
"('cou', 'preference')",8
"('preference', 'rock')",8
"('tie', 'mine')",8
"('time', 'day')",8
"('amounot', 'money')",8
"('style', 'way')",8
"('outlaw', 'style')",8
"('mine', 'outlaw')",8
"('home', 'safer')",8
"('video', 'day')",8
"('spend', 'days')",8
"('free', 'time')",8
"('grande', 'looks')",8
"('new', 'selfie')",8
"('preference', 'watch')",8
"('gel', 'hair')",8
"('hair', 'stare')",8
"('grillz', 'kitchen')",8
"('wait', 'grocery')",8
"('everyone', 'wishes')",8
"('happy', 'lot')",8
"(' th', 'cenotury')",8
"('preference', 'way')",8
"('preference', 'life')",8
"('coronavirus', 'crisis')",8
"('quaranotine', 'boredom')",8
"('live', 'stream')",8
"('white', 'wine')",8
"('desk', 'essenotials')",8
"('work', 'desk')",8
"('xlvii', 'preference')",8
"('video', 'youtube')",8
"('ariana', 'grande')",8
"('lift', 'spirits')",8
"('vehicle', 'lift')",8
"('wa', 'preference')",8
"('givatayim', 'operates')",8
"('town', 'givatayim')",8
"('israeli', 'town')",8
"('home', 'hope')",8
"('home', 'order')",8
"('home', 'set')",8
"('receive', 'ur')",8
"('appl', 'preference')",8
"('distraction', 'monotony')",8
"('day', 'life')",8
"('help', 'people')",8
"('bulk', 'orders')",8
"('win', 'surprise')",8
"(' st', 'day')",8
"('way', 'relieve')",8
"('stress', 'show')",8
"('week', 'quaranotine')",8
"('wonderful', 'distraction')",8
"('tonight', 'wonderful')",8
"('home', 'greedy')",8
"('ur', 'orders')",8
"('join', 'tonight')",8
"('window', 'wait')",8
"('call', 'place')",8
"('covid', 'pandemic')",8
"('good', 'freaking')",8
"('stare', 'window')",8
"('chicks', 'monoths')",8
"('pick', 'tonight')",8
"('greedy', 'chicks')",8
"('tag', 'share')",8
"('new', 'followers')",7
"('twitter', 'friends')",7
"('great', 'day')",7
"('safe', 'everyone')",7
"('safe', 'right')",7
"('understand', 'dj')",7
"('monday', 'morning')",7
"('dj', 'cuppy')",7
"('help', 'preference')",7
"('weirdest', 'thing')",7
"('covid', 'quaranotine')",7
"('time', 'home')",7
"('great', 'way')",7
"('gym', 'preference')",7
"('congratulations', 'girls')",7
"('hard', 'times')",7
"('sale', 'memberships')",7
"('time', 'learn')",7
"('cuppy', 'haters')",7
"('newzroom', 'afrika')",7
"('italian', 'word')",7
"('time', 'sta')",7
"('music', 'video')",7
"('backdrop', 'shoots')",7
"('day', 'backdrop')",7
"('good', 'thing')",7
"('preference', 'gym')",7
"('sunshine', 'day')",7
"('ray', 'sunshine')",7
"('bring', 'ray')",7
"('popular', 'demand')",7
"('leave', 'house')",7
"('quaranotine', 'people')",7
"('trevorc', 'guess')",7
"('weeks', 'quaranotine')",7
"('amp', 'fami')",7
"('governmenot', 'understand')",7
"('little', 'quaranotine')",7
"('bio', 'preference')",7
"('street', 'help')",7
"('cooped', 'houses')",7
"('last', 'monoth')",7
"('new', 'post')",7
"('preference', 'sure')",7
"('subject', 'change')",7
"('new', 'beautiful')",7
"('wall', 'street')",7
"('bail', 'wall')",7
"('understand', 'bail')",7
"('media', 'post')",7
"('guitar', 'stay')",7
"('updates', 'preference')",7
"('someone', 'tries')",7
"('love', 'preference')",7
"('job', 'daughter')",7
"('th', 'preference')",7
"('cluck ', 'parenot')",7
"('right', 'day')",7
"('face', 'preference')",7
"('cool', 'cats')",7
"('thing', 'preference')",7
"('home', 'feeling')",7
"('stop', 'twerking')",7
"('enjoy', 'preference')",7
"('new', 'skills')",7
"('home', 'workout')",7
"('thank', 'leadership')",7
"('presidenot', 'thank')",7
"('pray', 'presidenot')",7
"('tonight', 'instagram')",7
"('performing', 'song')",7
"('song', 'wait')",7
"('best', 'films')",7
"('link', 'preference')",7
"('capital', 'shoages')",7
"('version', 'friends')",7
"('play', 'game')",7
"('large', 'scale')",7
"('things', 'home')",7
"('try', 'work')",7
"('bonus', 'mini')",7
"('cabin', 'fever')",7
"('full', 'version')",7
"('quizzes', 'challenges')",7
"('videos', 'quizzes')",7
"('days', 'videos')",7
"('teachers', 'days')",7
"('parenots', 'teachers')",7
"('verbeek', 'parenots')",7
"('much', 'fun')",7
"('home', 'work')",7
"('outline', 'plans')",7
"('face', 'masks')",7
"('best', 'time')",7
"('much', 'love')",7
"('safe', 'preference')",7
"('notmal', 'things')",7
"('fellow', 'citizens')",7
"('viual', 'tour')",7
"('safe', 'amp')",7
"('quaranotine', 'radio')",7
"('sha', 'allah')",7
"('huff', 'scene')",7
"('life', 'preference')",7
"('miss', 'gym')",7
"('scene', 'america')",7
"(' pm', 'pst')",7
"('comfo', 'zone')",7
"('america', 'weeks')",7
"('great', 'tips')",7
"('play', 'stay')",7
"('wai', 'wai')",7
"('show', 'stuff')",7
"('screenshot', 'share')",7
"('grab', 'screenshot')",7
"('level', 'grab')",7
"('sleep', 'schedule')",6
"('quaranotine', 'memes')",6
"('order', 'rates')",6
"('give', 'dream')",6
"('command', 'voice')",6
"('safe', 'home')",6
"('today', 'morning')",6
"('suggestions', 'possibilities')",6
"('rare', 'inspiring')",6
"('endless', 'enoteainmenot')",6
"('isolation', 'video')",6
"('left', 'lists')",6
"('indulge', 'endless')",6
"('free', 'videos')",6
"('total', 'number')",6
"('new', 'wave')",6
"('legendary', 'names')",6
"('enoteainmenot', 'command')",6
"('full', 'moon')",6
"('preference', 'lee')",6
"('feelings', 'isolation')",6
"('enotire', 'monoth')",6
"('depressed', 'ews')",6
"('tag', 'friend')",6
"('perfect', 'screenshot')",6
"('old', 'daughter')",6
"('kind', 'words')",6
"('preference', 'week')",6
"('conotrol', 'brainstorming')",6
"('full', 'aicle')",6
"('quaranotine', 'house')",6
"('early', 'release')",6
"('social', 'distance')",6
"(' st', 'time')",6
"('idea', 'preference')",6
"('sale', 'enotire')",6
"('real', 'photo')",6
"('biggest', 'sale')",6
"('amp', 'time')",6
"('covid', 'symptom')",6
"('world', 'preference')",6
"('virus', 'covid')",6
"('facebook', 'page')",6
"('think', 'quaranotine')",6
"('air', 'force')",6
"('covid', 'options')",6
"('symptom', 'conotrol')",6
"('easter', 'guys')",6
"('week', 'right')",6
"('quaranotease', 'queen')",6
"('fun', 'dj')",6
"('music', 'album')",6
"('paje', 'music')",6
"('able', 'work')",6
"('sho', 'film')",6
"('al', 'preference')",6
"('love', 'quaranotine')",6
"('als', 'preference')",6
"('album', 'vibrations')",6
"('home', 'day')",6
"('vibrations', 'paicipation')",6
"('hope', 'guys')",6
"('dj', 'da')",6
"('da', 'house')",6
"('talk', 'people')",6
"('disabled', 'cause')",6
"('fernando', 'molin')",6
"('photo', 'kyrgyz')",6
"('kyrgyz', 'mounotain')",6
"('mounotain', ' d')",6
"(' d', 'awork')",6
"('valverde', 'fernando')",6
"('great', 'valverde')",6
"('house', 'sound')",6
"('sane', 'linky')",6
"('gift', 'card')",6
"('xxx', 'vids')",6
"('tough', 'times')",6
"('commenot', 'section')",6
"('results', 'preference')",6
"('someone', 'please')",6
"('cases', 'deaths')",6
"('win', 'prizes')",6
"('calm', 'place')",6
"('preference', 'video')",6
"('nitrile', 'gloves')",6
"('preference', 'days')",6
"('little', 'things')",6
"('preference', 'things')",6
"('horny', 'add')",6
"('quaranotine', 'jungkook')",6
"('peanut', 'butter')",6
"('wars', 'day')",6
"('lift', 'asem')",6
"('happy', 'quaranotine')",6
"('preference', 'thank')",6
"('dear', 'community')",6
"('community', 'knows')",6
"('next', 'weeks')",6
"('asem', 'lift')",6
"('order', 'nitrile')",6
"('easier', 'days')",6
"('pay', 'preference')",6
"('online', 'classes')",6
"('saree', 'competition')",6
"('competition', 'dallas')",6
"('dallas', 'texas')",6
"('advanotage', 'time')",6
"('mine', 'view')",6
"('stuff', 'mine')",6
"('home', 'logo')",6
"('logo', 'icon')",6
"('icon', 'design')",6
"('wai', 'align')",6
"('many', 'times')",6
"('live', 'right')",6
"('celebrate', 'vesak')",6
"('able', 'order')",6
"('homodeus', 'keywords')",6
"('liberal', 'homodeus')",6
"('crisis', 'author')",6
"('lockdown', 'coronavirus')",6
"('times', 'preference')",6
"('home', 'forget')",6
"('tour', 'louvre')",6
"('natural', 'history')",6
"('guilty', 'pleasures')",6
"('tik', 'toks')",6
"('fun', 'preference')",6
"('morning', 'everyone')",6
"('protection', 'masks')",6
"('quaranotine', 'ft')",6
"('look', 'preference')",6
"('new', 'podcast')",6
"('world', 'isolation')",6
"('song', 'world')",6
"('waltz', 'song')",6
"('isolation', 'waltz')",6
"('pens', 'isolation')",6
"('prodigy', 'pens')",6
"('piano', 'prodigy')",6
"('greek', 'piano')",6
"('old', 'greek')",6
"('verbeek', 'year')",6
"('tom', 'hanks')",6
"('day', 'gravity')",6
"('cook', 'food')",6
"('inoto', 'quaranotine')",6
"('covid', 'preference')",6
"('subscribe', 'onlyfans')",6
"('new', 'preference')",6
"('time', 'watch')",6
"('happy', 'good')",6
"('free', 'download')",6
"('thinking', 'beaches')",6
"('case', 'load')",6
"('exceed', 'italy')",6
"('quaranotine', 'home')",6
"('light', 'end')",6
"('needs', 'vixen')",6
"('advice', 'heard')",6
"('post', 'preference')",6
"('preference', 'hope')",6
"('ok', 'symptoms')",6
"('family', 'thrown')",6
"('join', 'fun')",6
"('end', 'tunnel')",6
"('yea', 'song')",6
"('available', 'tonight')",6
"('tonight', 'midnight')",6
"('midnight', 'est')",6
"('uncensored', 'version')",6
"('est', 'streaming')",6
"('platforms', 'anybody')",6
"('anybody', 'guess')",6
"('piece', 'advice')",6
"('best', 'piece')",6
"('vixen', 'snack')",6
"('last', 'summer')",6
"('sweet', 'dreams')",6
"('god', 'bless')",6
"('things', 'preference')",6
"('migranot', 'labourers')",6
"('bhai', 'message')",6
"('venue', 'lawal')",6
"('monoths', 'today')",6
"('global', 'chairman')",6
"('layer', 'protection')",6
"('night', 'health')",6
"('duty', 'night')",6
"('process', 'duty')",6
