0
0
"(0.03679820343749451, 'look')","(0.02892172782247546, 'video')","(0.02621209962457129, 'world')","(0.021001953080698334, 'new')","(0.016428888465534672, 'check')","(0.016323352052105906, 'never')","(0.016299344274378288, 'post')","(0.015131815467834467, 'right')","(0.01406152820354754, 'beautiful')","(0.013473415057228141, 'may')"
1
"(0.03718626918392711, 'look')","(0.028712137335046857, 'video')","(0.02657097188070149, 'world')","(0.02137001193681218, 'new')","(0.017273209468768563, 'check')","(0.01639635839308019, 'never')","(0.016383306905869126, 'post')","(0.015308277813780463, 'right')","(0.01385181866935409, 'may')","(0.01384594375505649, 'beautiful')"
2
"(0.041047886044554865, 'look')","(0.0281497430069794, 'world')","(0.027751177781150212, 'video')","(0.018762815146149324, 'new')","(0.01754116316367222, 'post')","(0.016431009881257477, 'never')","(0.016290239195498386, 'right')","(0.01431343705514677, 'check')","(0.01224179797252943, 'may')","(0.012153594227748775, 'beautiful')"
3
"(0.03989687111469924, 'look')","(0.028130966632178827, 'world')","(0.02730337949509583, 'video')","(0.018746562501600245, 'post')","(0.017715431721148134, 'right')","(0.016500757286872496, 'never')","(0.016160476574738517, 'new')","(0.01254768521419725, 'patienot')","(0.012141477538929229, 'update')","(0.011944905394131454, 'check')"
4
"(0.03840992219785852, 'look')","(0.028399076319053706, 'video')","(0.02725474726386974, 'world')","(0.020755779944548858, 'post')","(0.020433668248825018, 'right')","(0.017889316848368447, 'never')","(0.016254505518248138, 'update')","(0.01525968378535899, 'new')","(0.011800004267982356, 'face')","(0.011235299606973517, 'check')"
5
"(0.03692314578756, 'look')","(0.026010661333558047, 'video')","(0.025942175414009276, 'world')","(0.022981793000079243, 'update')","(0.022357537526816535, 'right')","(0.020129394169914938, 'never')","(0.019596289208932874, 'post')","(0.014422097323370313, 'new')","(0.013345630527728287, 'step')","(0.012870264606746661, 'face')"
6
"(0.040038112896623526, 'look')","(0.02467921190132936, 'world')","(0.024333065345577446, 'video')","(0.022870167034323197, 'right')","(0.020737357031474585, 'update')","(0.018267469601379115, 'never')","(0.017967169890118852, 'post')","(0.015156199770845947, 'face')","(0.014231493509693868, 'new')","(0.013366289267438644, 'tomorrow')"
7
