id,coordinates
279,"(36.7014631, -118.7559974)"
281,"(51.5073219, -0.1276474)"
282,"(35.3341782, -97.4879214)"
284,"(12.7503486, 122.7312101)"
286,"(45.9896587, -94.6113288)"
287,"(4.5693754, 102.2656823)"
288,"(40.126139, -82.9295287)"
289,"(17.38878595, 78.46106473453146)"
291,"(27.633333, 77.583333)"
293,"(50.87174025, -114.16065308800451)"
294,"(7.5554942, 80.7137847)"
295,"(28.5421109, -81.3790304)"
296,"(51.5073219, -0.1276474)"
297,"(56.7861112, -4.1140518)"
298,"(42.3315509, -83.0466403)"
299,"(33.7490987, -84.3901849)"
301,"(41.5051613, -81.6934446)"
302,"(10.9094334, 78.3665347)"
303,"(51.3582945, 7.473296)"
305,"(24.0510297, 88.23779874587402)"
308,"(40.9915716, 29.0270173)"
310,"(47.0644551, 8.5238673)"
312,"(30.3843674, 76.770421)"
313,"(38.87734145, -77.01181532503409)"
315,
316,"(51.5073219, -0.1276474)"
317,
318,"(33.7490987, -84.3901849)"
319,
320,"(46.603354, 1.8883335)"
321,"(21.394833, -157.72989134661873)"
322,"(33.7490987, -84.3901849)"
323,"(51.5073219, -0.1276474)"
324,"(46.9599823, 22.0541733)"
325,"(30.3843674, 76.770421)"
330,"(37.1298517, -80.4089389)"
333,"(10.9094334, 78.3665347)"
334,"(53.1823034, -0.2031208542548153)"
335,"(39.88771115, -75.19078391488154)"
337,"(52.46018745, -6.606515459159162)"
338,"(22.3511148, 78.6677428)"
339,"(38.5815719, -121.4943996)"
341,"(51.5073219, -0.1276474)"
342,
343,"(45.7634448, 10.1158821)"
344,"(33.53155445, 75.3109635338607)"
345,
346,
347,"(7.5554942, 80.7137847)"
348,"(18.9387711, 72.8353355)"
349,"(36.8414197, -2.4628135)"
351,"(24.0002488, 53.9994829)"
352,"(10.3528744, 76.5120396)"
353,
354,
355,"(18.9387711, 72.8353355)"
356,"(23.3700354, 85.3250132)"
357,"(41.8755616, -87.6244212)"
358,"(12.7503486, 122.7312101)"
359,"(25.2856329, 51.5264162)"
360,
361,"(28.6517178, 77.2219388)"
363,
364,"(14.5906216, 120.9799696)"
365,"(56.8406494, 24.7537645)"
366,
368,"(22.5677459, 88.3476023)"
369,"(40.7127281, -74.0060152)"
371,"(26.1805978, 91.753943)"
372,"(53.5120412, -2.2434612)"
373,"(52.3152187, 0.0170499)"
374,"(4.7676576, 7.0188527)"
375,"(39.2908816, -76.610759)"
376,"(18.521428, 73.8544541)"
377,"(-12.0621065, -77.0365256)"
378,"(51.5073219, -0.1276474)"
379,"(45.3842702, -73.995482)"
380,
381,"(29.9499323, -90.0701156)"
382,"(38.27312, -98.5821872)"
383,
384,"(39.7837304, -100.4458825)"
385,"(46.1565155, -1.1544615)"
386,"(30.3308401, 71.247499)"
387,"(40.1053196, -85.6802541)"
388,"(40.7127281, -74.0060152)"
389,"(34.0980031, -118.3295232)"
390,"(14.0734578, 120.6322736)"
391,"(36.0696054, -106.3237938)"
394,"(18.9387711, 72.8353355)"
395,
396,
398,"(49.157677, -121.9514307)"
399,"(42.6055893, -83.1499304)"
400,"(36.0696054, -106.3237938)"
401,"(42.6055893, -83.1499304)"
402,"(46.603354, 1.8883335)"
403,"(24.0510297, 88.23779874587402)"
404,"(40.735657, -74.1723667)"
405,"(18.521428, 73.8544541)"
406,
407,"(28.6141793, 77.2022662)"
408,
409,"(36.0696054, -106.3237938)"
411,"(24.0510297, 88.23779874587402)"
413,"(-8.6349833, 116.3584253)"
414,"(40.3270127, -86.1746933)"
415,"(39.88771115, -75.19078391488154)"
416,
417,"(36.0696054, -106.3237938)"
418,"(41.47441105, -88.05876255177395)"
420,"(40.8466508, -73.8785937)"
421,
422,"(46.9599823, 22.0541733)"
423,"(49.21230655, -2.1255999596428845)"
426,"(42.3602534, -71.0582912)"
427,"(42.3602534, -71.0582912)"
428,"(28.6141793, 77.2022662)"
429,"(41.8755616, -87.6244212)"
430,"(42.2679888, 42.7069095)"
431,
432,
433,
434,
435,"(54.7023545, -3.2765753)"
438,
439,
440,
441,"(-32.8336867, -70.5981609)"
442,"(31.199004, 29.894378)"
443,
444,"(14.5568853, 121.023532)"
445,"(55.8609825, -4.2488787)"
447,"(39.9527237, -75.1635262)"
448,"(31.814753, -106.517042)"
449,"(36.1672559, -115.1485163)"
450,"(4.8412901, 31.5855728)"
451,"(20.0171109, 103.378253)"
452,"(39.7837304, -100.4458825)"
453,"(9.0643305, 7.4892974)"
454,"(54.7023545, -3.2765753)"
455,"(40.7127281, -74.0060152)"
457,
458,"(51.5073219, -0.1276474)"
459,"(22.3511148, 78.6677428)"
462,"(41.7728699, -88.1479278)"
464,"(10.78322705, 77.52604780096844)"
465,"(41.2464824, -75.8817316)"
466,
467,"(51.5073219, -0.1276474)"
468,"(44.4936714, 11.3430347)"
469,"(40.5834557, -74.1496048)"
470,"(13.470062, -15.4900464)"
471,"(14.5906216, 120.9799696)"
472,"(55.001251, -115.002136)"
473,"(-28.8166236, 24.991639)"
474,"(28.818746750000003, -81.64585723799206)"
475,"(52.7954791, -0.5402402866174321)"
476,"(50.6402809, 4.6667145)"
477,"(40.7127281, -74.0060152)"
478,
479,"(25.0659637, 55.1713403)"
480,"(39.7837304, -100.4458825)"
481,"(40.7127281, -74.0060152)"
483,"(40.9699889, -77.7278831)"
484,"(38.9953683, 21.9877132)"
486,"(30.048819, 31.243666)"
489,"(-34.9964963, -64.9672817)"
490,"(12.8831063, 77.7501677)"
491,"(31.55176955, -110.24532264844618)"
492,"(43.9792797, -120.737257)"
494,"(37.2275859, -115.83850929376537)"
495,"(20.2602939, 85.8394548)"
496,"(26.8381, 80.9346001)"
497,"(22.3511148, 78.6677428)"
499,"(-10.1632209, 123.6017755)"
501,
503,"(43.2630051, -2.9349915)"
504,"(43.157285, -77.615214)"
505,"(11.369204400000001, 77.67662686841793)"
507,
508,"(39.9527237, -75.1635262)"
509,"(51.5073219, -0.1276474)"
510,"(60.2182189, 24.8111526)"
